风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司2号一期风电场,HFJ004,5507,偏航自动解缆中,2019-02-25 16:27:29.000,2019-02-25 16:38:04.000,635,偏航,故障和告警
五里坡公司2号一期风电场,HFJ004,5505,右扭缆超限,2019-02-25 16:26:39.000,2019-02-25 16:27:29.000,50,偏航,故障和告警
五里坡公司2号一期风电场,HFJ004,5505,右扭缆超限,2019-02-24 15:01:55.000,2019-02-24 15:02:35.000,40,偏航,故障和告警
五里坡公司2号一期风电场,HFJ004,5507,偏航自动解缆中,2019-02-24 15:01:55.000,2019-02-24 15:13:58.000,723,偏航,故障和告警
五里坡公司2号一期风电场,HFJ004,5121,能量管理平台停机,2019-02-22 22:38:19.000,2019-02-22 22:43:25.000,306,控制器,故障和告警
五里坡公司2号一期风电场,HFJ004,5922,小风正常停机,2019-02-21 02:02:16.000,2019-02-21 02:02:55.000,39,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ004,5507,偏航自动解缆中,2019-02-18 14:43:35.000,2019-02-18 14:55:11.000,696,偏航,故障和告警
五里坡公司2号一期风电场,HFJ004,5505,右扭缆超限,2019-02-18 14:43:35.000,2019-02-18 14:44:01.000,26,偏航,故障和告警
五里坡公司2号一期风电场,HFJ004,5902,变流器复位超时,2019-02-16 09:33:16.000,2019-02-16 09:35:03.000,107,变流器,故障和告警
五里坡公司2号一期风电场,HFJ004,5970,变流器系统故障,2019-02-16 09:32:49.000,2019-02-16 09:35:03.000,134,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ004,5953,变流器直流母线过压 ,2019-02-16 09:32:49.000,2019-02-16 09:35:03.000,134,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ004,5941,变流器跳闸,2019-02-16 09:32:49.000,2019-02-16 09:35:03.000,134,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ004,5953,变流器直流母线过压 ,2019-02-16 09:02:09.000,2019-02-16 09:08:30.000,381,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ004,5941,变流器跳闸,2019-02-16 09:02:09.000,2019-02-16 09:08:30.000,381,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ004,5970,变流器系统故障,2019-02-16 09:02:09.000,2019-02-16 09:08:30.000,381,变流器（控制器部分）,故障和告警
