风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ108,5121,能量管理平台停机,2019-03-29 11:22:47.000,2019-03-29 15:51:25.000,16118,控制器,故障和告警
白塔公司1号二期风电场,HFJ108,5121,能量管理平台停机,2019-03-29 10:26:08.000,2019-03-29 10:58:04.000,1916,控制器,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-25 23:30:58.000,2019-03-25 23:51:38.000,1240,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-24 21:57:58.000,2019-03-24 22:18:11.000,1213,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5505,右扭缆超限,2019-03-24 21:56:40.000,2019-03-24 21:57:58.000,78,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-23 10:26:21.000,2019-03-23 10:47:55.000,1294,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-19 08:34:36.000,2019-03-19 08:55:04.000,1228,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-15 11:34:58.000,2019-03-15 11:54:27.000,1169,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-13 06:22:08.000,2019-03-13 06:42:54.000,1246,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5922,小风正常停机,2019-03-12 12:28:03.000,2019-03-12 12:29:53.000,110,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ108,6505,机舱手动正常停机,2019-03-11 14:51:57.000,2019-03-11 14:54:31.000,154,其他,故障和告警
白塔公司1号二期风电场,HFJ108,5106,机舱手动正常停机,2019-03-11 14:51:57.000,2019-03-11 14:54:31.000,154,控制器,故障和告警
白塔公司1号二期风电场,HFJ108,5107,塔基手动正常停机,2019-03-11 14:28:26.000,2019-03-11 14:41:19.000,773,控制器,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-09 22:22:26.000,2019-03-09 22:43:00.000,1234,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-08 06:42:26.000,2019-03-08 07:02:00.000,1174,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5505,右扭缆超限,2019-03-08 06:40:46.000,2019-03-08 06:42:26.000,100,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5505,右扭缆超限,2019-03-04 04:55:26.000,2019-03-04 04:56:39.000,73,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5507,偏航自动解缆中,2019-03-04 04:55:26.000,2019-03-04 05:17:24.000,1318,偏航,故障和告警
白塔公司1号二期风电场,HFJ108,5003,风轮过转速(H),2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,安全链,故障和告警
白塔公司1号二期风电场,HFJ108,15811,桨叶3安全链故障,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ108,5941,变流器跳闸,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ108,15711,桨叶2安全链故障,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ108,64025,主控制器安全链输入丢失(OS),2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,控制器,故障和告警
白塔公司1号二期风电场,HFJ108,5009,机舱安全停按钮触发,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,安全链,故障和告警
白塔公司1号二期风电场,HFJ108,15604,桨叶1紧急顺桨模式,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ108,15804,桨叶3紧急顺桨模式,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ108,5002,安全链2触发,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,安全链,故障和告警
白塔公司1号二期风电场,HFJ108,15611,桨叶1安全链故障,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ108,5001,硬件看门狗触发安全链,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,安全链,故障和告警
白塔公司1号二期风电场,HFJ108,15704,桨叶2紧急顺桨模式,2019-03-02 15:14:38.000,2019-03-02 15:20:59.000,381,桨叶硬件,故障和告警
