风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ120,5109,SCADA停机,2019-03-29 12:06:49.000,2019-03-29 15:56:57.000,13808,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5121,能量管理平台停机,2019-03-29 10:26:08.000,2019-03-29 10:58:04.000,1916,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-26 11:38:28.000,2019-03-26 11:58:40.000,1212,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5922,小风正常停机,2019-03-23 12:59:53.000,2019-03-23 13:01:15.000,82,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-17 14:45:45.000,2019-03-17 15:05:32.000,1187,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-13 12:25:09.000,2019-03-13 12:45:54.000,1245,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-10 03:23:30.000,2019-03-10 03:44:20.000,1250,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5505,右扭缆超限,2019-03-08 23:32:42.000,2019-03-08 23:34:35.000,113,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-08 23:32:42.000,2019-03-08 23:54:16.000,1294,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-04 12:52:00.000,2019-03-04 13:13:56.000,1316,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-03-02 16:20:25.000,2019-03-02 16:40:37.000,1212,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-02-24 14:11:28.000,2019-02-24 14:33:21.000,1313,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5922,小风正常停机,2019-02-13 15:10:42.000,2019-02-13 15:11:27.000,45,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ120,5506,左扭缆超限,2019-02-11 23:20:52.000,2019-02-11 23:22:10.000,78,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-02-11 23:20:52.000,2019-02-11 23:42:13.000,1281,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,6411,启机等风超时待机,2019-02-10 05:48:38.000,2019-02-10 05:49:15.000,37,超时,故障和告警
白塔公司1号二期风电场,HFJ120,5121,能量管理平台停机,2019-02-06 12:05:07.000,2019-02-06 16:03:49.000,14322,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5121,能量管理平台停机,2019-02-03 13:02:16.000,2019-02-03 13:14:26.000,730,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5121,能量管理平台停机,2019-02-03 12:05:37.000,2019-02-03 12:17:14.000,697,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-02-01 21:48:40.000,2019-02-01 22:10:38.000,1318,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5506,左扭缆超限,2019-02-01 21:48:40.000,2019-02-01 21:54:04.000,324,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5003,风轮过转速(H),2019-01-31 20:19:37.000,2019-01-31 20:57:26.000,2269,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,15811,桨叶3安全链故障,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,64025,主控制器安全链输入丢失(OS),2019-01-31 20:19:37.000,2019-01-31 20:57:26.000,2269,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5009,机舱安全停按钮触发,2019-01-31 20:19:37.000,2019-01-31 20:57:26.000,2269,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,5941,变流器跳闸,2019-01-31 20:19:37.000,2019-01-31 20:57:26.000,2269,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ120,15704,桨叶2紧急顺桨模式,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,5001,硬件看门狗触发安全链,2019-01-31 20:19:37.000,2019-01-31 20:57:26.000,2269,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,15711,桨叶2安全链故障,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,15604,桨叶1紧急顺桨模式,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,5002,安全链2触发,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,15611,桨叶1安全链故障,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ120,15804,桨叶3紧急顺桨模式,2019-01-31 20:19:37.000,2019-01-31 20:58:40.000,2343,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-01-26 00:21:09.000,2019-01-26 00:41:29.000,1220,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5613,齿轮箱油泵启动失败,2019-01-21 12:35:56.000,2019-01-21 14:48:26.000,7950,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ120,5801,高速轴刹车非正常动作,2019-01-21 11:43:44.000,2019-01-21 14:49:47.000,11163,刹车系统,故障和告警
白塔公司1号二期风电场,HFJ120,5530,偏航电机1-2断路器跳闸,2019-01-21 11:36:17.000,2019-01-21 14:48:26.000,11529,偏航驱动,故障和告警
白塔公司1号二期风电场,HFJ120,5621,齿轮箱润滑泵断路器跳闸,2019-01-21 11:30:40.000,2019-01-21 14:48:26.000,11866,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ120,5712,发电机冷却风扇断路器跳闸,2019-01-21 11:26:46.000,2019-01-21 14:48:26.000,12100,发电机,故障和告警
白塔公司1号二期风电场,HFJ120,5620,齿轮箱冷却风扇断路器跳闸,2019-01-21 11:24:41.000,2019-01-21 14:48:26.000,12225,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ120,5107,塔基手动正常停机,2019-01-21 11:13:41.000,2019-01-21 14:48:26.000,12885,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5924,风机欠功率,2019-01-20 19:42:08.000,2019-01-20 19:43:59.000,111,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ120,5107,塔基手动正常停机,2019-01-20 18:06:26.000,2019-01-20 18:11:01.000,275,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,6501,HMI手动停机,2019-01-20 17:31:49.000,2019-01-20 18:06:26.000,2077,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5712,发电机冷却风扇断路器跳闸,2019-01-20 17:08:43.000,2019-01-20 18:06:26.000,3463,发电机,故障和告警
白塔公司1号二期风电场,HFJ120,15804,桨叶3紧急顺桨模式,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,5941,变流器跳闸,2019-01-19 11:49:01.000,2019-01-19 11:54:26.000,325,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ120,15611,桨叶1安全链故障,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ120,5001,硬件看门狗触发安全链,2019-01-19 11:49:01.000,2019-01-19 12:29:56.000,2455,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,15604,桨叶1紧急顺桨模式,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,5002,安全链2触发,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,5003,风轮过转速(H),2019-01-19 11:49:01.000,2019-01-19 12:29:56.000,2455,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,15711,桨叶2安全链故障,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,15811,桨叶3安全链故障,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,5009,机舱安全停按钮触发,2019-01-19 11:49:01.000,2019-01-19 12:29:56.000,2455,安全链,故障和告警
白塔公司1号二期风电场,HFJ120,15704,桨叶2紧急顺桨模式,2019-01-19 11:49:01.000,2019-01-19 12:33:52.000,2691,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ120,64025,主控制器安全链输入丢失(OS),2019-01-19 11:49:01.000,2019-01-19 12:29:56.000,2455,控制器,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-01-11 23:11:54.000,2019-01-11 23:31:03.000,1149,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5506,左扭缆超限,2019-01-11 23:09:47.000,2019-01-11 23:11:54.000,127,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-01-09 20:55:47.000,2019-01-09 21:16:01.000,1214,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5507,偏航自动解缆中,2019-01-02 23:14:02.000,2019-01-02 23:34:40.000,1238,偏航,故障和告警
白塔公司1号二期风电场,HFJ120,5107,塔基手动正常停机,2018-12-30 10:48:45.000,2018-12-30 11:59:52.000,4267,控制器,故障和告警
