风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ154,5505,右扭缆超限,2019-03-29 21:51:02.000,2019-03-29 21:51:38.000,36,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5507,偏航自动解缆中,2019-03-29 21:51:02.000,2019-03-29 22:11:37.000,1235,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 16:19:34.000,2019-03-29 17:18:00.000,3506,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 15:55:04.000,2019-03-29 16:10:33.000,929,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 13:59:54.000,2019-03-29 15:53:14.000,6800,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 13:54:22.000,2019-03-29 13:56:13.000,111,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 11:21:21.000,2019-03-29 13:51:56.000,9035,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 10:25:31.000,2019-03-29 11:07:15.000,2504,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 10:11:09.000,2019-03-29 10:16:10.000,301,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 09:45:12.000,2019-03-29 09:55:32.000,620,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 08:45:15.000,2019-03-29 09:40:21.000,3306,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-29 01:01:18.000,2019-03-29 01:09:14.000,476,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-28 17:19:30.000,2019-03-28 17:47:04.000,1654,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-28 15:50:24.000,2019-03-28 17:17:31.000,5227,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-28 14:15:39.000,2019-03-28 15:08:11.000,3152,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-28 09:59:39.000,2019-03-28 10:27:55.000,1696,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-28 09:12:25.000,2019-03-28 09:22:54.000,629,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5922,小风正常停机,2019-03-28 05:50:44.000,2019-03-28 05:52:06.000,82,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ154,5507,偏航自动解缆中,2019-03-25 22:03:26.000,2019-03-25 22:22:24.000,1138,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-25 16:28:52.000,2019-03-25 16:49:13.000,1221,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-25 16:00:54.000,2019-03-25 16:21:30.000,1236,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-24 14:26:29.000,2019-03-24 14:30:05.000,216,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5924,风机欠功率,2019-03-21 03:17:05.000,2019-03-21 03:19:02.000,117,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-20 14:56:55.000,2019-03-20 15:20:21.000,1406,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-20 13:12:11.000,2019-03-20 14:53:04.000,6053,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-20 13:07:15.000,2019-03-20 13:09:39.000,144,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-20 13:02:36.000,2019-03-20 13:04:46.000,130,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-20 12:56:35.000,2019-03-20 12:59:17.000,162,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-20 10:01:48.000,2019-03-20 12:53:46.000,10318,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5507,偏航自动解缆中,2019-03-18 20:20:20.000,2019-03-18 20:41:00.000,1240,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5507,偏航自动解缆中,2019-03-17 00:13:18.000,2019-03-17 00:33:52.000,1234,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5507,偏航自动解缆中,2019-03-14 22:11:56.000,2019-03-14 22:30:55.000,1139,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5507,偏航自动解缆中,2019-03-12 01:39:18.000,2019-03-12 01:59:15.000,1197,偏航,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-11 16:31:11.000,2019-03-11 17:30:18.000,3547,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-11 15:39:47.000,2019-03-11 16:25:29.000,2742,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-11 11:55:47.000,2019-03-11 15:33:48.000,13081,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-11 11:28:33.000,2019-03-11 11:50:30.000,1317,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-10 17:16:42.000,2019-03-10 17:29:47.000,785,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-10 12:37:49.000,2019-03-10 14:25:39.000,6470,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-10 11:54:59.000,2019-03-10 12:35:58.000,2459,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-10 09:15:16.000,2019-03-10 11:46:30.000,9074,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-08 16:47:56.000,2019-03-08 17:08:52.000,1256,控制器,故障和告警
白塔公司1号二期风电场,HFJ154,5121,能量管理平台停机,2019-03-08 14:36:26.000,2019-03-08 16:28:05.000,6699,控制器,故障和告警
