风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号一期风电场,HFJ056,5904,机组正常待机,2019-03-30 17:09:53.000,2019-03-30 17:14:50.000,297,变流器,故障和告警
白塔公司1号一期风电场,HFJ056,5904,机组正常待机,2019-03-30 16:21:05.000,2019-03-30 16:26:06.000,301,变流器,故障和告警
白塔公司1号一期风电场,HFJ056,5904,机组正常待机,2019-03-30 15:20:51.000,2019-03-30 15:25:30.000,279,变流器,故障和告警
白塔公司1号一期风电场,HFJ056,5904,机组正常待机,2019-03-30 14:34:48.000,2019-03-30 14:39:41.000,293,变流器,故障和告警
白塔公司1号一期风电场,HFJ056,7200,备用电源测试告警,2019-03-30 14:04:18.000,2019-03-30 14:05:20.000,62,测试,故障和告警
白塔公司1号一期风电场,HFJ056,5904,机组正常待机,2019-03-30 14:04:18.000,2019-03-30 14:09:28.000,310,变流器,故障和告警
白塔公司1号一期风电场,HFJ056,5503,偏航误差过大,2019-03-30 13:52:07.000,2019-03-30 13:55:13.000,186,偏航,故障和告警
白塔公司1号一期风电场,HFJ056,5503,偏航误差过大,2019-03-30 13:39:41.000,2019-03-30 13:41:35.000,114,偏航,故障和告警
白塔公司1号一期风电场,HFJ056,5503,偏航误差过大,2019-03-30 13:35:58.000,2019-03-30 13:39:04.000,186,偏航,故障和告警
白塔公司1号一期风电场,HFJ056,5002,安全链2触发,2019-03-30 13:35:20.000,2019-03-30 13:42:49.000,449,安全链,故障和告警
白塔公司1号一期风电场,HFJ056,6102,桨叶1系统错误,2019-03-30 13:35:20.000,2019-03-30 13:42:49.000,449,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ056,6104,桨叶3系统错误,2019-03-30 13:35:20.000,2019-03-30 13:42:49.000,449,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ056,5904,机组正常待机,2019-03-30 13:35:20.000,2019-03-30 13:40:19.000,299,变流器,故障和告警
白塔公司1号一期风电场,HFJ056,5457,变桨3备份电源电压故障,2019-03-30 13:35:20.000,2019-03-30 13:42:49.000,449,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ056,5485,桨叶3刹车电压故障,2019-03-30 13:35:20.000,2019-03-30 13:42:49.000,449,桨叶硬件,故障和告警
