风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号一期风电场,HFJ063,5904,机组正常待机,2019-03-30 23:15:45.000,2019-03-30 23:20:24.000,279,变流器,故障和告警
白塔公司1号一期风电场,HFJ063,5904,机组正常待机,2019-03-30 19:31:41.000,2019-03-30 19:36:36.000,295,变流器,故障和告警
白塔公司1号一期风电场,HFJ063,5904,机组正常待机,2019-03-30 17:15:39.000,2019-03-30 17:20:42.000,303,变流器,故障和告警
白塔公司1号一期风电场,HFJ063,5904,机组正常待机,2019-03-30 15:21:42.000,2019-03-30 15:26:44.000,302,变流器,故障和告警
白塔公司1号一期风电场,HFJ063,7200,备用电源测试告警,2019-03-30 15:21:42.000,2019-03-30 15:22:23.000,41,测试,故障和告警
白塔公司1号一期风电场,HFJ063,5904,机组正常待机,2019-03-30 14:47:36.000,2019-03-30 14:53:11.000,335,变流器,故障和告警
白塔公司1号一期风电场,HFJ063,5503,偏航误差过大,2019-03-30 14:36:40.000,2019-03-30 14:37:16.000,36,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5503,偏航误差过大,2019-03-30 14:34:48.000,2019-03-30 14:35:25.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5503,偏航误差过大,2019-03-30 14:32:55.000,2019-03-30 14:33:32.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5503,偏航误差过大,2019-03-30 14:26:41.000,2019-03-30 14:28:33.000,112,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5437,变桨系统内部硬件连接故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5451,桨叶2备用电源电压故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5853,主轴轴承润滑故障,2019-03-30 14:20:35.000,2019-03-30 14:34:48.000,853,润滑系统,故障和告警
白塔公司1号一期风电场,HFJ063,6103,桨叶2系统错误,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ063,5484,桨叶2刹车电压故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5442,桨叶1电机冷却风扇跳闸,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5445,桨叶1备用电源电压故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,6102,桨叶1系统错误,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ063,5483,桨叶1刹车电压故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5002,安全链2触发,2019-03-30 14:20:35.000,2019-03-30 14:34:48.000,853,安全链,故障和告警
白塔公司1号一期风电场,HFJ063,5941,变流器跳闸,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5432,变桨系统通讯故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5457,变桨3备份电源电压故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5485,桨叶3刹车电压故障,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5904,机组正常待机,2019-03-30 14:20:35.000,2019-03-30 14:25:26.000,291,变流器,故障和告警
白塔公司1号一期风电场,HFJ063,6104,桨叶3系统错误,2019-03-30 14:20:35.000,2019-03-30 14:34:10.000,815,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ063,6501,HMI手动停机,2019-03-30 14:06:54.000,2019-03-30 14:20:35.000,821,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-30 00:39:41.000,2019-03-30 00:51:09.000,688,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2019-03-29 11:22:47.000,2019-03-29 15:57:34.000,16487,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2019-03-29 10:26:08.000,2019-03-29 10:58:04.000,1916,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2019-03-29 08:56:43.000,2019-03-29 09:19:30.000,1367,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-25 21:48:23.000,2019-03-25 21:58:36.000,613,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-18 21:33:21.000,2019-03-18 21:45:23.000,722,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-15 00:23:42.000,2019-03-15 00:33:58.000,616,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-12 05:36:34.000,2019-03-12 05:46:58.000,624,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-09 22:02:47.000,2019-03-09 22:14:17.000,690,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-03-06 07:18:28.000,2019-03-06 07:29:42.000,674,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-02-27 01:57:56.000,2019-02-27 02:11:06.000,790,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5107,塔基手动正常停机,2019-02-26 09:43:18.000,2019-02-26 11:12:33.000,5355,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5108,维护模式,2019-02-26 09:43:18.000,2019-02-26 11:12:33.000,5355,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5505,右扭缆超限,2019-02-26 00:39:50.000,2019-02-26 00:41:38.000,108,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-02-26 00:39:50.000,2019-02-26 00:52:04.000,734,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-02-22 21:26:29.000,2019-02-22 21:37:42.000,673,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5922,小风正常停机,2019-02-21 00:26:35.000,2019-02-21 00:28:31.000,116,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5922,小风正常停机,2019-02-09 15:29:57.000,2019-02-09 15:30:34.000,37,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2019-02-06 12:05:07.000,2019-02-06 16:06:10.000,14463,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2019-02-04 13:19:04.000,2019-02-04 13:26:40.000,456,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2019-02-03 12:05:37.000,2019-02-03 13:14:26.000,4129,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-01-28 02:46:30.000,2019-01-28 02:57:57.000,687,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5924,风机欠功率,2019-01-16 05:51:21.000,2019-01-16 05:53:03.000,102,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-01-11 14:21:54.000,2019-01-11 14:33:32.000,698,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5506,左扭缆超限,2019-01-08 08:15:48.000,2019-01-08 08:17:57.000,129,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2019-01-08 08:15:48.000,2019-01-08 08:27:24.000,696,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2018-12-31 11:40:11.000,2018-12-31 11:50:45.000,634,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5108,维护模式,2018-12-29 09:42:29.000,2018-12-29 11:11:32.000,5343,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5107,塔基手动正常停机,2018-12-29 09:41:00.000,2018-12-29 11:11:32.000,5432,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5922,小风正常停机,2018-12-19 19:46:29.000,2018-12-19 19:47:48.000,79,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2018-12-16 11:37:54.000,2018-12-16 15:25:46.000,13672,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5922,小风正常停机,2018-12-11 15:36:39.000,2018-12-11 15:38:00.000,81,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2018-12-11 03:49:59.000,2018-12-11 04:00:50.000,651,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2018-12-09 07:59:38.000,2018-12-09 08:10:48.000,670,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2018-12-04 08:11:16.000,2018-12-04 08:22:39.000,683,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5506,左扭缆超限,2018-12-04 08:11:16.000,2018-12-04 08:12:33.000,77,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,6411,启机等风超时待机,2018-11-29 23:42:20.000,2018-11-29 23:43:31.000,71,超时,故障和告警
白塔公司1号一期风电场,HFJ063,5507,偏航自动解缆中,2018-11-22 01:09:16.000,2018-11-22 01:20:45.000,689,偏航,故障和告警
白塔公司1号一期风电场,HFJ063,5121,能量管理平台停机,2018-11-01 15:47:25.000,2018-11-01 15:50:52.000,207,控制器,故障和告警
白塔公司1号一期风电场,HFJ063,5451,桨叶2备用电源电压故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5484,桨叶2刹车电压故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5445,桨叶1备用电源电压故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5442,桨叶1电机冷却风扇跳闸,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5485,桨叶3刹车电压故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,1029,以太网接收故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,其他,故障和告警
白塔公司1号一期风电场,HFJ063,5483,桨叶1刹车电压故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,102,电网电压跌落,2018-11-01 14:57:37.000,2018-11-01 15:00:23.000,166,电网,故障和告警
白塔公司1号一期风电场,HFJ063,5457,变桨3备份电源电压故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,7021,电网频率低,2018-11-01 14:57:37.000,2018-11-01 15:00:23.000,166,电网,故障和告警
白塔公司1号一期风电场,HFJ063,5437,变桨系统内部硬件连接故障,2018-11-01 14:57:37.000,2018-11-01 15:20:26.000,1369,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5494,桨叶3 400伏异常,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5487,桨叶2 24V电压故障,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,6107,桨叶3BTB错误,2018-10-28 14:02:23.000,2018-11-01 15:00:23.000,349080,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ063,5989,变流器UPS电量低,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5971,变流器转子侧模块启动故障,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5941,变流器跳闸,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,6105,桨叶1BTB错误,2018-10-28 14:02:23.000,2018-11-01 15:00:23.000,349080,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ063,5949,变流器网侧线电压过压,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5488,桨叶3 24V电压故障,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,5972,变流器网侧模块启动故障,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ063,5482,桨叶2充电传感器故障,2018-10-28 14:02:23.000,2018-11-01 14:57:37.000,348914,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ063,6106,桨叶2BTB错误,2018-10-28 14:02:23.000,2018-11-01 15:00:23.000,349080,桨叶软件,故障和告警
