风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 16:43:27.000,2019-03-29 17:07:20.000,1433,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 14:31:34.000,2019-03-29 16:41:36.000,7802,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 11:21:21.000,2019-03-29 14:24:11.000,10970,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 10:11:09.000,2019-03-29 11:14:26.000,3797,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 09:33:41.000,2019-03-29 09:55:32.000,1311,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 09:20:18.000,2019-03-29 09:31:17.000,659,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 08:59:09.000,2019-03-29 09:16:29.000,1040,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 08:46:27.000,2019-03-29 08:51:18.000,291,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-29 00:53:14.000,2019-03-29 01:15:32.000,1338,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 17:23:22.000,2019-03-28 17:48:58.000,1536,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 17:04:48.000,2019-03-28 17:19:30.000,882,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 16:27:43.000,2019-03-28 17:00:27.000,1964,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 15:48:32.000,2019-03-28 16:25:43.000,2231,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 14:39:17.000,2019-03-28 14:46:49.000,452,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 14:15:39.000,2019-03-28 14:37:16.000,1297,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 10:20:03.000,2019-03-28 10:33:49.000,826,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 10:03:14.000,2019-03-28 10:13:17.000,603,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-28 09:12:25.000,2019-03-28 09:24:56.000,751,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5507,偏航自动解缆中,2019-03-28 02:51:22.000,2019-03-28 03:10:44.000,1162,偏航,故障和告警
白塔公司1号二期风电场,HFJ166,5507,偏航自动解缆中,2019-03-25 19:49:52.000,2019-03-25 20:08:35.000,1123,偏航,故障和告警
白塔公司1号二期风电场,HFJ166,5505,右扭缆超限,2019-03-25 19:48:24.000,2019-03-25 19:49:52.000,88,偏航,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-25 15:41:08.000,2019-03-25 16:45:22.000,3854,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5121,能量管理平台停机,2019-03-24 14:26:29.000,2019-03-24 14:35:43.000,554,控制器,故障和告警
白塔公司1号二期风电场,HFJ166,5504,风向突变,2019-03-24 13:57:16.000,2019-03-24 13:58:35.000,79,偏航,故障和告警
