风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司2号一期风电场,HFJ026,5505,右扭缆超限,2019-02-24 14:51:21.000,2019-02-24 14:52:01.000,40,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5507,偏航自动解缆中,2019-02-24 14:51:21.000,2019-02-24 15:03:15.000,714,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5924,风机欠功率,2019-02-23 09:57:33.000,2019-02-23 09:58:13.000,40,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5417,桨叶3限位开关触发误报,2019-02-13 12:42:14.000,2019-02-13 12:50:54.000,520,桨叶软件,故障和告警
五里坡公司2号一期风电场,HFJ026,64025,主控制器安全链输入丢失(OS),2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5005,过振动(H),2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5119,机舱手动偏航使能,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5007,塔底紧停按钮触发,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5012,安全链1触发,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5001,硬件看门狗触发安全链,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5010,安全继电器触发,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5977,变流器转子侧其它故障,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5003,风轮过转速(H),2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5004,发电机过转速(H),2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5108,维护模式,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5970,变流器系统故障,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5011,主断路器跳闸,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5002,安全链2触发,2019-02-13 11:29:46.000,2019-02-13 11:30:13.000,27,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,6501,HMI手动停机,2019-02-13 11:28:26.000,2019-02-13 11:29:19.000,53,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5621,齿轮箱润滑泵断路器跳闸,2019-02-13 11:28:26.000,2019-02-13 11:29:19.000,53,齿轮箱,故障和告警
五里坡公司2号一期风电场,HFJ026,5613,齿轮箱油泵启动失败,2019-02-13 10:43:00.000,2019-02-13 11:27:58.000,2698,齿轮箱,故障和告警
五里坡公司2号一期风电场,HFJ026,5802,液压系统压力低,2019-02-13 09:57:40.000,2019-02-13 11:29:19.000,5499,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5602,齿轮箱油压低,2019-02-13 09:46:59.000,2019-02-13 11:27:58.000,6059,齿轮箱,故障和告警
五里坡公司2号一期风电场,HFJ026,5530,偏航电机1-2断路器跳闸,2019-02-13 09:46:59.000,2019-02-13 11:27:58.000,6059,偏航驱动,故障和告警
五里坡公司2号一期风电场,HFJ026,5806,液压泵断路器跳闸,2019-02-13 09:46:59.000,2019-02-13 11:27:58.000,6059,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5531,偏航电机3-4断路器跳闸,2019-02-13 09:46:59.000,2019-02-13 11:27:58.000,6059,偏航驱动,故障和告警
五里坡公司2号一期风电场,HFJ026,5621,齿轮箱润滑泵断路器跳闸,2019-02-13 09:36:41.000,2019-02-13 11:27:58.000,6677,齿轮箱,故障和告警
五里坡公司2号一期风电场,HFJ026,5807,液压油位低,2019-02-13 09:27:17.000,2019-02-13 11:27:58.000,7241,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5807,液压油位低,2019-02-13 07:55:56.000,2019-02-13 09:26:49.000,5453,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5802,液压系统压力低,2019-02-13 07:00:51.000,2019-02-13 08:48:35.000,6464,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5445,桨叶1备用电源电压故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5437,变桨系统内部硬件连接故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5442,桨叶1电机冷却风扇跳闸,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5970,变流器系统故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5451,桨叶2备用电源电压故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5483,桨叶1刹车电压故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5484,桨叶2刹车电压故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,64037,非正常关机(OS),2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5002,安全链2触发,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,安全链,故障和告警
五里坡公司2号一期风电场,HFJ026,5485,桨叶3刹车电压故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5977,变流器转子侧其它故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5432,变桨系统通讯故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,5457,变桨3备份电源电压故障,2019-02-12 22:19:25.000,2019-02-12 22:20:28.000,63,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ026,64011,手动重启(OS),2019-02-12 22:16:45.000,2019-02-12 22:19:25.000,160,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5807,液压油位低,2019-02-12 21:41:46.000,2019-02-13 07:55:02.000,36796,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5807,液压油位低,2019-02-12 20:04:00.000,2019-02-12 20:28:22.000,1462,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ026,5506,左扭缆超限,2019-02-12 00:02:38.000,2019-02-12 00:04:27.000,109,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5507,偏航自动解缆中,2019-02-12 00:02:38.000,2019-02-12 00:14:27.000,709,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5922,小风正常停机,2019-02-11 14:22:06.000,2019-02-11 14:22:40.000,34,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5922,小风正常停机,2019-01-25 21:52:28.000,2019-01-25 21:52:55.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5924,风机欠功率,2019-01-22 01:51:11.000,2019-01-22 01:51:38.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5507,偏航自动解缆中,2019-01-17 22:28:48.000,2019-01-17 22:39:52.000,664,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5922,小风正常停机,2019-01-14 23:27:26.000,2019-01-14 23:28:16.000,50,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,5507,偏航自动解缆中,2019-01-11 23:15:45.000,2019-01-11 23:27:35.000,710,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5506,左扭缆超限,2019-01-09 15:53:08.000,2019-01-09 15:53:46.000,38,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5507,偏航自动解缆中,2019-01-09 15:53:08.000,2019-01-09 16:04:59.000,711,偏航,故障和告警
五里坡公司2号一期风电场,HFJ026,5107,塔基手动正常停机,2019-01-04 13:52:50.000,2019-01-04 14:33:01.000,2411,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5108,维护模式,2019-01-04 13:50:50.000,2019-01-04 13:52:50.000,120,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5970,变流器系统故障,2019-01-04 13:43:03.000,2019-01-04 13:50:50.000,467,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ026,64025,主控制器安全链输入丢失(OS),2019-01-04 13:42:22.000,2019-01-04 13:50:50.000,508,控制器,故障和告警
五里坡公司2号一期风电场,HFJ026,5432,变桨系统通讯故障,2019-01-04 13:42:22.000,2019-01-04 13:50:50.000,508,桨叶硬件,故障和告警
