风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司2号一期风电场,HFJ010,5505,右扭缆超限,2019-02-24 08:22:07.000,2019-02-24 08:23:46.000,99,偏航,故障和告警
五里坡公司2号一期风电场,HFJ010,5507,偏航自动解缆中,2019-02-24 08:22:07.000,2019-02-24 08:34:30.000,743,偏航,故障和告警
五里坡公司2号一期风电场,HFJ010,5924,风机欠功率,2019-02-24 02:36:37.000,2019-02-24 02:37:17.000,40,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ010,5924,风机欠功率,2019-02-22 23:15:40.000,2019-02-22 23:16:28.000,48,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ010,5922,小风正常停机,2019-02-09 22:01:45.000,2019-02-09 22:02:12.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ010,5922,小风正常停机,2019-02-08 13:27:30.000,2019-02-08 13:28:18.000,48,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ010,6411,启机等风超时待机,2019-01-25 03:32:52.000,2019-01-25 03:33:19.000,27,超时,故障和告警
五里坡公司2号一期风电场,HFJ010,5121,能量管理平台停机,2019-01-09 18:25:51.000,2019-01-09 18:30:41.000,290,控制器,故障和告警
五里坡公司2号一期风电场,HFJ010,5121,能量管理平台停机,2019-01-03 21:34:50.000,2019-01-03 21:36:58.000,128,控制器,故障和告警
五里坡公司2号一期风电场,HFJ010,5121,能量管理平台停机,2018-12-31 12:09:07.000,2018-12-31 12:09:56.000,49,控制器,故障和告警
五里坡公司2号一期风电场,HFJ010,5121,能量管理平台停机,2018-12-31 12:00:52.000,2018-12-31 12:02:12.000,80,控制器,故障和告警
五里坡公司2号一期风电场,HFJ010,5506,左扭缆超限,2018-12-30 23:35:39.000,2018-12-30 23:36:53.000,74,偏航,故障和告警
五里坡公司2号一期风电场,HFJ010,5507,偏航自动解缆中,2018-12-30 23:35:39.000,2018-12-30 23:47:43.000,724,偏航,故障和告警
五里坡公司2号一期风电场,HFJ010,5004,发电机过转速(H),2018-12-21 10:21:06.000,2018-12-21 10:21:37.000,31,安全链,故障和告警
五里坡公司2号一期风电场,HFJ010,5012,安全链1触发,2018-12-21 10:21:06.000,2018-12-21 10:21:37.000,31,安全链,故障和告警
五里坡公司2号一期风电场,HFJ010,64025,主控制器安全链输入丢失(OS),2018-12-21 10:21:06.000,2018-12-21 10:21:37.000,31,控制器,故障和告警
五里坡公司2号一期风电场,HFJ010,5003,风轮过转速(H),2018-12-21 10:21:06.000,2018-12-21 10:21:37.000,31,安全链,故障和告警
