风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号一期风电场,HFJ047,5904,机组正常待机,2019-03-30 17:01:50.000,2019-03-30 17:07:08.000,318,变流器,故障和告警
白塔公司1号一期风电场,HFJ047,5904,机组正常待机,2019-03-30 16:12:38.000,2019-03-30 16:17:43.000,305,变流器,故障和告警
白塔公司1号一期风电场,HFJ047,5904,机组正常待机,2019-03-30 15:48:45.000,2019-03-30 15:53:26.000,281,变流器,故障和告警
白塔公司1号一期风电场,HFJ047,5904,机组正常待机,2019-03-30 15:29:50.000,2019-03-30 15:34:56.000,306,变流器,故障和告警
白塔公司1号一期风电场,HFJ047,5904,机组正常待机,2019-03-30 15:02:20.000,2019-03-30 15:07:16.000,296,变流器,故障和告警
白塔公司1号一期风电场,HFJ047,5503,偏航误差过大,2019-03-30 12:24:07.000,2019-03-30 12:24:44.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5457,变桨3备份电源电压故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5432,变桨系统通讯故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5002,安全链2触发,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,安全链,故障和告警
白塔公司1号一期风电场,HFJ047,64037,非正常关机(OS),2019-03-30 11:11:20.000,2019-03-30 11:20:20.000,540,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5853,主轴轴承润滑故障,2019-03-30 11:11:20.000,2019-03-30 12:27:11.000,4551,润滑系统,故障和告警
白塔公司1号一期风电场,HFJ047,5941,变流器跳闸,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ047,5437,变桨系统内部硬件连接故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5442,桨叶1电机冷却风扇跳闸,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5445,桨叶1备用电源电压故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5451,桨叶2备用电源电压故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5484,桨叶2刹车电压故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,6104,桨叶3系统错误,2019-03-30 11:11:20.000,2019-03-30 11:20:20.000,540,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ047,6103,桨叶2系统错误,2019-03-30 11:11:20.000,2019-03-30 11:20:20.000,540,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ047,5483,桨叶1刹车电压故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,5904,机组正常待机,2019-03-30 11:11:20.000,2019-03-30 11:16:14.000,294,变流器,故障和告警
白塔公司1号一期风电场,HFJ047,5485,桨叶3刹车电压故障,2019-03-30 11:11:20.000,2019-03-30 11:19:31.000,491,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ047,6102,桨叶1系统错误,2019-03-30 11:11:20.000,2019-03-30 11:20:20.000,540,桨叶软件,故障和告警
白塔公司1号一期风电场,HFJ047,6501,HMI手动停机,2019-03-30 10:55:05.000,2019-03-30 11:11:20.000,975,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5121,能量管理平台停机,2019-03-29 11:22:47.000,2019-03-29 15:55:41.000,16374,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5121,能量管理平台停机,2019-03-29 10:26:45.000,2019-03-29 11:01:13.000,2068,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5121,能量管理平台停机,2019-03-29 08:56:43.000,2019-03-29 09:25:52.000,1749,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5922,小风正常停机,2019-03-26 09:51:12.000,2019-03-26 09:52:27.000,75,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-26 02:59:03.000,2019-03-26 03:10:47.000,704,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5505,右扭缆超限,2019-03-26 02:59:03.000,2019-03-26 03:00:19.000,76,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-24 04:03:06.000,2019-03-24 04:14:19.000,673,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-22 13:51:18.000,2019-03-22 14:04:15.000,777,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5505,右扭缆超限,2019-03-20 01:08:10.000,2019-03-20 01:10:28.000,138,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-20 01:08:10.000,2019-03-20 01:21:06.000,776,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-17 06:52:21.000,2019-03-17 07:04:05.000,704,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-16 05:22:24.000,2019-03-16 05:33:35.000,671,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-13 12:08:12.000,2019-03-13 12:19:35.000,683,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-10 00:37:11.000,2019-03-10 00:48:11.000,660,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5505,右扭缆超限,2019-03-08 18:34:29.000,2019-03-08 18:36:12.000,103,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-08 18:34:29.000,2019-03-08 18:46:17.000,708,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5801,高速轴刹车非正常动作,2019-03-08 17:18:34.000,2019-03-08 18:14:47.000,3373,刹车系统,故障和告警
白塔公司1号一期风电场,HFJ047,5119,机舱手动偏航使能,2019-03-08 16:59:22.000,2019-03-08 17:16:40.000,1038,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5108,维护模式,2019-03-08 16:59:22.000,2019-03-08 18:14:47.000,4525,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5531,偏航电机3-4断路器跳闸,2019-03-08 15:53:59.000,2019-03-08 17:16:40.000,4961,偏航驱动,故障和告警
白塔公司1号一期风电场,HFJ047,5530,偏航电机1-2断路器跳闸,2019-03-08 15:53:59.000,2019-03-08 17:16:40.000,4961,偏航驱动,故障和告警
白塔公司1号一期风电场,HFJ047,5801,高速轴刹车非正常动作,2019-03-08 15:39:03.000,2019-03-08 17:16:40.000,5857,刹车系统,故障和告警
白塔公司1号一期风电场,HFJ047,5620,齿轮箱冷却风扇断路器跳闸,2019-03-08 15:32:11.000,2019-03-08 17:49:48.000,8257,齿轮箱,故障和告警
白塔公司1号一期风电场,HFJ047,5712,发电机冷却风扇断路器跳闸,2019-03-08 15:32:11.000,2019-03-08 17:49:48.000,8257,发电机,故障和告警
白塔公司1号一期风电场,HFJ047,5107,塔基手动正常停机,2019-03-08 15:21:34.000,2019-03-08 17:16:40.000,6906,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-03-02 13:28:02.000,2019-03-02 13:38:52.000,650,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5505,右扭缆超限,2019-02-24 12:09:14.000,2019-02-24 12:11:33.000,139,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-02-24 12:09:14.000,2019-02-24 12:21:42.000,748,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5108,维护模式,2019-02-20 15:06:13.000,2019-02-20 15:57:31.000,3078,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5107,塔基手动正常停机,2019-02-20 15:06:13.000,2019-02-20 15:57:31.000,3078,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5924,风机欠功率,2019-02-15 17:22:45.000,2019-02-15 17:23:22.000,37,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ047,5505,右扭缆超限,2019-02-13 23:03:51.000,2019-02-13 23:05:08.000,77,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-02-13 23:03:51.000,2019-02-13 23:15:11.000,680,偏航,故障和告警
白塔公司1号一期风电场,HFJ047,5924,风机欠功率,2019-02-12 07:31:18.000,2019-02-12 07:31:54.000,36,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ047,5924,风机欠功率,2019-02-08 14:56:46.000,2019-02-08 14:57:22.000,36,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ047,5121,能量管理平台停机,2019-02-06 11:53:16.000,2019-02-06 16:11:02.000,15466,控制器,故障和告警
白塔公司1号一期风电场,HFJ047,5507,偏航自动解缆中,2019-02-05 22:11:08.000,2019-02-05 22:21:42.000,634,偏航,故障和告警
