风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ093,5924,风机欠功率,2019-02-26 04:22:40.000,2019-02-26 04:23:43.000,63,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5924,风机欠功率,2019-02-25 03:50:28.000,2019-02-25 03:51:08.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-22 16:32:47.000,2019-02-22 16:33:33.000,46,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5108,维护模式,2019-02-19 13:57:51.000,2019-02-19 15:59:35.000,7304,控制器,故障和告警
五里坡公司3号一期风电场,HFJ093,5107,塔基手动正常停机,2019-02-19 13:56:03.000,2019-02-19 15:59:35.000,7412,控制器,故障和告警
五里坡公司3号一期风电场,HFJ093,6411,启机等风超时待机,2019-02-19 04:36:59.000,2019-02-19 04:37:26.000,27,超时,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-16 22:47:03.000,2019-02-16 22:47:29.000,26,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-16 19:52:01.000,2019-02-16 19:52:28.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5924,风机欠功率,2019-02-13 04:08:37.000,2019-02-13 04:09:14.000,37,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5506,左扭缆超限,2019-02-11 02:10:33.000,2019-02-11 02:11:08.000,35,偏航,故障和告警
五里坡公司3号一期风电场,HFJ093,5507,偏航自动解缆中,2019-02-11 02:10:33.000,2019-02-11 02:27:54.000,1041,偏航,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-07 19:29:13.000,2019-02-07 19:30:00.000,47,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-06 10:53:14.000,2019-02-06 10:53:55.000,41,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-04 12:18:08.000,2019-02-04 12:18:58.000,50,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-01 05:56:27.000,2019-02-01 05:57:07.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-02-01 04:21:39.000,2019-02-01 04:22:29.000,50,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-30 18:53:55.000,2019-01-30 18:54:35.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-23 14:28:48.000,2019-01-23 14:29:15.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-23 14:13:16.000,2019-01-23 14:13:47.000,31,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-21 18:55:48.000,2019-01-21 18:56:15.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-21 18:29:32.000,2019-01-21 18:29:59.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-19 14:25:04.000,2019-01-19 14:25:33.000,29,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-18 10:59:14.000,2019-01-18 10:59:41.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5941,变流器跳闸,2019-01-17 21:25:28.000,2019-01-17 21:31:19.000,351,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,6411,启机等风超时待机,2019-01-17 10:45:26.000,2019-01-17 10:46:06.000,40,超时,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-12 09:30:10.000,2019-01-12 09:30:58.000,48,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-12 07:22:37.000,2019-01-12 07:23:28.000,51,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5507,偏航自动解缆中,2019-01-11 03:39:09.000,2019-01-11 03:56:08.000,1019,偏航,故障和告警
五里坡公司3号一期风电场,HFJ093,5922,小风正常停机,2019-01-09 06:15:21.000,2019-01-09 06:16:10.000,49,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ093,5108,维护模式,2019-01-08 15:26:42.000,2019-01-08 15:31:52.000,310,控制器,故障和告警
