风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ153,5507,偏航自动解缆中,2019-03-30 02:41:03.000,2019-03-30 03:00:57.000,1194,偏航,故障和告警
白塔公司1号二期风电场,HFJ153,5924,风机欠功率,2019-03-30 00:32:24.000,2019-03-30 00:33:01.000,37,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 16:35:22.000,2019-03-29 17:18:00.000,2558,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 13:22:29.000,2019-03-29 16:30:27.000,11278,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 13:07:21.000,2019-03-29 13:15:34.000,493,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 12:50:25.000,2019-03-29 12:54:38.000,253,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 12:44:52.000,2019-03-29 12:46:44.000,112,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 12:39:58.000,2019-03-29 12:42:22.000,144,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 12:35:00.000,2019-03-29 12:35:37.000,37,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 12:30:04.000,2019-03-29 12:31:19.000,75,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 10:28:00.000,2019-03-29 12:28:13.000,7213,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 10:11:09.000,2019-03-29 10:25:31.000,862,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 09:33:06.000,2019-03-29 09:55:32.000,1346,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 09:13:25.000,2019-03-29 09:31:17.000,1072,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 09:07:44.000,2019-03-29 09:08:35.000,51,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 08:45:15.000,2019-03-29 08:59:09.000,834,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 00:58:46.000,2019-03-29 01:12:50.000,844,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-29 00:53:14.000,2019-03-29 00:55:06.000,112,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 17:19:30.000,2019-03-28 17:48:58.000,1768,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 17:10:19.000,2019-03-28 17:17:31.000,432,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 17:04:48.000,2019-03-28 17:07:34.000,166,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 16:47:54.000,2019-03-28 17:00:27.000,753,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 16:00:39.000,2019-03-28 16:46:00.000,2721,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 15:50:24.000,2019-03-28 15:56:28.000,364,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 14:15:39.000,2019-03-28 15:08:11.000,3152,控制器,故障和告警
白塔公司1号二期风电场,HFJ153,5121,能量管理平台停机,2019-03-28 10:20:03.000,2019-03-28 10:35:48.000,945,控制器,故障和告警
