风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 19:13:45.000,2019-03-30 19:19:26.000,341,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,5924,风机欠功率,2019-03-30 19:13:45.000,2019-03-30 19:14:36.000,51,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 18:03:32.000,2019-03-30 18:09:08.000,336,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,5503,偏航误差过大,2019-03-30 16:53:28.000,2019-03-30 16:54:05.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 16:53:28.000,2019-03-30 16:58:25.000,297,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 16:06:32.000,2019-03-30 16:10:59.000,267,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 15:25:30.000,2019-03-30 15:30:28.000,298,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,7200,备用电源测试告警,2019-03-30 14:56:52.000,2019-03-30 14:57:29.000,37,测试,故障和告警
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 14:56:52.000,2019-03-30 15:02:20.000,328,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,5503,偏航误差过大,2019-03-30 11:00:03.000,2019-03-30 11:00:40.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ042,5503,偏航误差过大,2019-03-30 10:51:21.000,2019-03-30 10:51:58.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ042,5503,偏航误差过大,2019-03-30 10:48:52.000,2019-03-30 10:49:29.000,37,偏航,故障和告警
白塔公司1号一期风电场,HFJ042,5483,桨叶1刹车电压故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5904,机组正常待机,2019-03-30 10:45:46.000,2019-03-30 10:50:44.000,298,变流器,故障和告警
白塔公司1号一期风电场,HFJ042,5457,变桨3备份电源电压故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5485,桨叶3刹车电压故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5002,安全链2触发,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,安全链,故障和告警
白塔公司1号一期风电场,HFJ042,5442,桨叶1电机冷却风扇跳闸,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5854,发电机轴承润滑故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,润滑系统,故障和告警
白塔公司1号一期风电场,HFJ042,5437,变桨系统内部硬件连接故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5451,桨叶2备用电源电压故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5432,变桨系统通讯故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5445,桨叶1备用电源电压故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5484,桨叶2刹车电压故障,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,桨叶硬件,故障和告警
白塔公司1号一期风电场,HFJ042,5941,变流器跳闸,2019-03-30 10:45:46.000,2019-03-30 10:53:12.000,446,变流器（控制器部分）,故障和告警
白塔公司1号一期风电场,HFJ042,6501,HMI手动停机,2019-03-30 10:20:36.000,2019-03-30 10:45:46.000,1510,控制器,故障和告警
白塔公司1号一期风电场,HFJ042,5121,能量管理平台停机,2019-03-29 11:22:47.000,2019-03-29 15:58:12.000,16525,控制器,故障和告警
白塔公司1号一期风电场,HFJ042,5121,能量管理平台停机,2019-03-29 10:26:45.000,2019-03-29 11:01:13.000,2068,控制器,故障和告警
