风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ119,5121,能量管理平台停机,2019-03-29 11:22:06.000,2019-03-29 15:55:41.000,16415,控制器,故障和告警
白塔公司1号二期风电场,HFJ119,5121,能量管理平台停机,2019-03-29 10:26:08.000,2019-03-29 10:55:37.000,1769,控制器,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-28 03:56:28.000,2019-03-28 04:17:46.000,1278,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-20 21:40:56.000,2019-03-20 22:01:22.000,1226,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-18 20:32:39.000,2019-03-18 20:53:07.000,1228,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,5922,小风正常停机,2019-03-15 14:42:19.000,2019-03-15 14:44:17.000,118,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-14 22:16:39.000,2019-03-14 22:37:54.000,1275,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,5924,风机欠功率,2019-03-13 01:26:38.000,2019-03-13 01:28:18.000,100,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ119,5924,风机欠功率,2019-03-09 22:39:09.000,2019-03-09 22:40:59.000,110,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-09 20:24:03.000,2019-03-09 20:45:26.000,1283,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-05 00:31:52.000,2019-03-05 00:52:06.000,1214,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,5507,偏航自动解缆中,2019-03-02 17:47:42.000,2019-03-02 18:06:58.000,1156,偏航,故障和告警
白塔公司1号二期风电场,HFJ119,6401,系统初始化超时待机,2019-02-27 09:35:13.000,2019-02-27 09:37:07.000,114,超时,故障和告警
白塔公司1号二期风电场,HFJ119,15711,桨叶2安全链故障,2019-02-27 09:33:16.000,2019-02-27 09:37:07.000,231,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15611,桨叶1安全链故障,2019-02-27 09:33:16.000,2019-02-27 09:37:07.000,231,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ119,15604,桨叶1紧急顺桨模式,2019-02-27 09:33:16.000,2019-02-27 09:37:07.000,231,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15804,桨叶3紧急顺桨模式,2019-02-27 09:33:16.000,2019-02-27 09:37:07.000,231,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15704,桨叶2紧急顺桨模式,2019-02-27 09:33:16.000,2019-02-27 09:37:07.000,231,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15811,桨叶3安全链故障,2019-02-27 09:33:16.000,2019-02-27 09:37:07.000,231,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,5924,风机欠功率,2019-02-22 21:30:14.000,2019-02-22 21:32:09.000,115,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ119,6411,启机等风超时待机,2019-02-22 14:59:33.000,2019-02-22 15:00:50.000,77,超时,故障和告警
白塔公司1号二期风电场,HFJ119,6411,启机等风超时待机,2019-02-09 22:42:29.000,2019-02-09 22:43:05.000,36,超时,故障和告警
白塔公司1号二期风电场,HFJ119,5121,能量管理平台停机,2019-02-06 12:05:07.000,2019-02-06 16:03:49.000,14322,控制器,故障和告警
白塔公司1号二期风电场,HFJ119,15700,桨叶2伺服CAN通讯错误,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15603,桨叶1位置标定错误,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,64037,非正常关机(OS),2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,控制器,故障和告警
白塔公司1号二期风电场,HFJ119,15600,桨叶1伺服CAN通讯错误,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15803,桨叶3位置标定错误,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15601,桨叶1主电源400V故障,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15701,桨叶2主电源400V故障,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15703,桨叶2位置标定错误,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,15801,桨叶3主电源400V超限,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,5002,安全链2触发,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,安全链,故障和告警
白塔公司1号二期风电场,HFJ119,5941,变流器跳闸,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ119,15800,桨叶3伺服CAN通讯错误,2019-02-04 22:57:07.000,2019-02-04 22:58:25.000,78,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ119,6401,系统初始化超时待机,2019-02-04 22:51:58.000,2019-02-04 22:54:36.000,158,超时,故障和告警
白塔公司1号二期风电场,HFJ119,5404,桨叶1和3的桨距角差值过大,2019-02-04 22:48:07.000,2019-02-04 22:57:07.000,540,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ119,6401,系统初始化超时待机,2019-02-04 22:48:07.000,2019-02-04 22:49:24.000,77,超时,故障和告警
