风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ142,5507,偏航自动解缆中,2019-03-29 22:14:51.000,2019-03-29 22:35:12.000,1221,偏航,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 15:57:34.000,2019-03-29 17:18:00.000,4826,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 13:40:12.000,2019-03-29 15:53:14.000,7982,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 10:56:51.000,2019-03-29 13:38:21.000,9690,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 10:49:29.000,2019-03-29 10:51:56.000,147,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 10:11:58.000,2019-03-29 10:47:40.000,2142,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 09:45:12.000,2019-03-29 09:55:32.000,620,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 08:56:43.000,2019-03-29 09:36:06.000,2363,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 08:45:51.000,2019-03-29 08:54:18.000,507,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-29 00:48:57.000,2019-03-29 01:15:32.000,1595,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-28 17:39:16.000,2019-03-28 17:48:58.000,582,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-28 15:50:24.000,2019-03-28 17:37:10.000,6406,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-28 14:15:39.000,2019-03-28 14:59:37.000,2638,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-28 10:27:55.000,2019-03-28 10:49:04.000,1269,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-28 09:59:39.000,2019-03-28 10:21:57.000,1338,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-28 09:17:15.000,2019-03-28 09:22:54.000,339,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5507,偏航自动解缆中,2019-03-25 21:39:22.000,2019-03-25 22:01:19.000,1317,偏航,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-25 15:41:08.000,2019-03-25 16:49:13.000,4085,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5507,偏航自动解缆中,2019-03-24 20:40:43.000,2019-03-24 21:01:10.000,1227,偏航,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-24 14:28:17.000,2019-03-24 14:35:43.000,446,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-20 15:16:29.000,2019-03-20 15:54:54.000,2305,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-20 14:34:25.000,2019-03-20 15:11:44.000,2239,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-20 13:47:00.000,2019-03-20 14:17:21.000,1821,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5121,能量管理平台停机,2019-03-20 10:01:48.000,2019-03-20 13:43:20.000,13292,控制器,故障和告警
白塔公司1号二期风电场,HFJ142,5507,偏航自动解缆中,2019-03-18 21:00:20.000,2019-03-18 21:21:19.000,1259,偏航,故障和告警
白塔公司1号二期风电场,HFJ142,5505,右扭缆超限,2019-03-18 21:00:20.000,2019-03-18 21:02:08.000,108,偏航,故障和告警
