风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ097,5505,右扭缆超限,2019-02-28 11:15:11.000,2019-02-28 11:16:00.000,49,偏航,故障和告警
五里坡公司3号一期风电场,HFJ097,5507,偏航自动解缆中,2019-02-28 11:15:11.000,2019-02-28 11:32:48.000,1057,偏航,故障和告警
五里坡公司3号一期风电场,HFJ097,5108,维护模式,2019-02-24 15:15:42.000,2019-02-24 16:11:53.000,3371,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5107,塔基手动正常停机,2019-02-24 14:07:32.000,2019-02-24 15:21:40.000,4448,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-24 05:56:38.000,2019-02-24 05:57:19.000,41,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-17 01:07:51.000,2019-02-17 01:08:26.000,35,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,6411,启机等风超时待机,2019-02-15 08:07:37.000,2019-02-15 08:08:08.000,31,超时,故障和告警
五里坡公司3号一期风电场,HFJ097,6411,启机等风超时待机,2019-02-10 23:55:22.000,2019-02-10 23:55:49.000,27,超时,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-10 08:48:24.000,2019-02-10 08:48:51.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-10 08:19:00.000,2019-02-10 08:19:35.000,35,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-08 13:11:17.000,2019-02-08 13:12:06.000,49,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-05 01:25:47.000,2019-02-05 01:26:35.000,48,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-05 00:34:59.000,2019-02-05 00:35:50.000,51,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5924,风机欠功率,2019-02-03 19:50:26.000,2019-02-03 19:51:05.000,39,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-02-01 04:26:39.000,2019-02-01 04:27:30.000,51,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,6411,启机等风超时待机,2019-01-26 15:25:19.000,2019-01-26 15:25:54.000,35,超时,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-01-23 13:07:32.000,2019-01-23 13:08:04.000,32,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5507,偏航自动解缆中,2019-01-11 02:27:37.000,2019-01-11 02:44:47.000,1030,偏航,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-01-09 20:44:40.000,2019-01-09 20:45:20.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5922,小风正常停机,2019-01-03 16:43:30.000,2019-01-03 16:44:09.000,39,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5119,机舱手动偏航使能,2019-01-03 11:28:35.000,2019-01-03 13:38:44.000,7809,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5613,齿轮箱油泵启动失败,2019-01-03 10:46:06.000,2019-01-03 13:38:44.000,10358,齿轮箱,故障和告警
五里坡公司3号一期风电场,HFJ097,5801,高速轴刹车非正常动作,2019-01-03 10:01:11.000,2019-01-03 14:15:15.000,15244,刹车系统,故障和告警
五里坡公司3号一期风电场,HFJ097,5602,齿轮箱油压低,2019-01-03 09:50:08.000,2019-01-03 13:38:44.000,13716,齿轮箱,故障和告警
五里坡公司3号一期风电场,HFJ097,5621,齿轮箱润滑泵断路器跳闸,2019-01-03 09:39:50.000,2019-01-03 13:38:44.000,14334,齿轮箱,故障和告警
五里坡公司3号一期风电场,HFJ097,5008,塔底安全停按钮触发,2019-01-03 09:26:05.000,2019-01-03 09:26:55.000,50,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5002,安全链2触发,2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5003,风轮过转速(H),2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5012,安全链1触发,2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,64025,主控制器安全链输入丢失(OS),2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5005,过振动(H),2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5010,安全继电器触发,2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5941,变流器跳闸,2019-01-03 09:25:16.000,2019-01-03 09:26:55.000,99,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ097,5001,硬件看门狗触发安全链,2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5011,主断路器跳闸,2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5119,机舱手动偏航使能,2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5007,塔底紧停按钮触发,2019-01-03 09:25:16.000,2019-01-03 09:26:55.000,99,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5004,发电机过转速(H),2019-01-03 09:25:16.000,2019-01-03 09:27:43.000,147,安全链,故障和告警
五里坡公司3号一期风电场,HFJ097,5108,维护模式,2019-01-03 09:24:26.000,2019-01-03 14:15:15.000,17449,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5107,塔基手动正常停机,2019-01-03 09:24:26.000,2019-01-03 09:26:55.000,149,控制器,故障和告警
五里坡公司3号一期风电场,HFJ097,5107,塔基手动正常停机,2019-01-03 08:09:53.000,2019-01-03 08:26:00.000,967,控制器,故障和告警
