风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ146,5507,偏航自动解缆中,2019-03-30 02:55:33.000,2019-03-30 03:16:01.000,1228,偏航,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 16:59:19.000,2019-03-29 17:13:58.000,879,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 16:12:15.000,2019-03-29 16:57:30.000,2715,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 15:30:31.000,2019-03-29 16:10:33.000,2402,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 13:46:59.000,2019-03-29 15:27:29.000,6030,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 10:58:43.000,2019-03-29 13:45:08.000,9985,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 10:53:47.000,2019-03-29 10:54:24.000,37,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 10:11:09.000,2019-03-29 10:51:56.000,2447,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 09:45:12.000,2019-03-29 09:53:06.000,474,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 08:46:27.000,2019-03-29 09:40:21.000,3234,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 02:05:49.000,2019-03-29 02:10:53.000,304,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-29 00:48:57.000,2019-03-29 01:12:50.000,1433,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 17:07:34.000,2019-03-28 17:48:58.000,2484,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 16:59:00.000,2019-03-28 17:04:48.000,348,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 16:09:35.000,2019-03-28 16:51:50.000,2535,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 16:02:34.000,2019-03-28 16:07:04.000,270,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 15:50:24.000,2019-03-28 16:00:39.000,615,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 14:15:39.000,2019-03-28 14:59:37.000,2638,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 10:27:55.000,2019-03-28 10:49:04.000,1269,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 09:59:39.000,2019-03-28 10:21:57.000,1338,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-28 09:12:25.000,2019-03-28 09:24:56.000,751,控制器,故障和告警
白塔公司1号二期风电场,HFJ146,5507,偏航自动解缆中,2019-03-25 21:46:37.000,2019-03-25 22:07:56.000,1279,偏航,故障和告警
白塔公司1号二期风电场,HFJ146,5121,能量管理平台停机,2019-03-25 16:02:47.000,2019-03-25 16:45:22.000,2555,控制器,故障和告警
