风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-23 23:04:09.000,2019-02-23 23:04:49.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-20 03:30:53.000,2019-02-20 03:31:42.000,49,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5507,偏航自动解缆中,2019-02-19 04:06:59.000,2019-02-19 04:23:52.000,1013,偏航,故障和告警
五里坡公司3号一期风电场,HFJ091,5108,维护模式,2019-02-18 09:20:42.000,2019-02-18 11:23:28.000,7366,控制器,故障和告警
五里坡公司3号一期风电场,HFJ091,5107,塔基手动正常停机,2019-02-18 09:20:10.000,2019-02-18 11:23:28.000,7398,控制器,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-13 13:54:45.000,2019-02-13 13:55:12.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-11 13:40:39.000,2019-02-11 13:41:07.000,28,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-09 07:59:30.000,2019-02-09 07:59:57.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-07 04:39:05.000,2019-02-07 04:39:45.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-06 05:09:47.000,2019-02-06 05:10:36.000,49,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-02-04 14:18:42.000,2019-02-04 14:19:32.000,50,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5924,风机欠功率,2019-01-29 23:17:17.000,2019-01-29 23:18:09.000,52,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-01-26 23:59:29.000,2019-01-26 23:59:56.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-01-25 20:35:19.000,2019-01-25 20:35:46.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,5507,偏航自动解缆中,2019-01-19 01:06:12.000,2019-01-19 01:23:16.000,1024,偏航,故障和告警
五里坡公司3号一期风电场,HFJ091,5506,左扭缆超限,2019-01-19 01:06:12.000,2019-01-19 01:06:44.000,32,偏航,故障和告警
五里坡公司3号一期风电场,HFJ091,5922,小风正常停机,2019-01-17 23:18:48.000,2019-01-17 23:19:19.000,31,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,6411,启机等风超时待机,2019-01-16 00:04:52.000,2019-01-16 00:05:40.000,48,超时,故障和告警
五里坡公司3号一期风电场,HFJ091,6411,启机等风超时待机,2019-01-15 11:37:38.000,2019-01-15 11:38:18.000,40,超时,故障和告警
五里坡公司3号一期风电场,HFJ091,5512,偏航零位故障,2019-01-12 16:21:39.000,2019-01-12 16:23:18.000,99,偏航,故障和告警
五里坡公司3号一期风电场,HFJ091,5485,桨叶3刹车电压故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5478,桨叶1充电器故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5941,变流器跳闸,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ091,64037,非正常关机(OS),2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,控制器,故障和告警
五里坡公司3号一期风电场,HFJ091,5479,桨叶2充电器故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5002,安全链2触发,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,安全链,故障和告警
五里坡公司3号一期风电场,HFJ091,5437,变桨系统内部硬件连接故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5480,桨叶3充电器故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5484,桨叶2刹车电压故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5481,桨叶2断路器跳闸,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5482,桨叶2充电传感器故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5483,桨叶1刹车电压故障,2019-01-12 15:54:04.000,2019-01-12 15:55:19.000,75,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,6401,系统初始化超时待机,2019-01-12 15:51:31.000,2019-01-12 15:54:04.000,153,超时,故障和告警
五里坡公司3号一期风电场,HFJ091,5432,变桨系统通讯故障,2019-01-12 15:31:48.000,2019-01-12 15:55:19.000,1411,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,6401,系统初始化超时待机,2019-01-12 15:31:48.000,2019-01-12 15:48:52.000,1024,超时,故障和告警
五里坡公司3号一期风电场,HFJ091,5431,轮毂温度低,2019-01-12 15:30:58.000,2019-01-12 15:41:45.000,647,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,6106,桨叶2BTB错误,2019-01-12 15:30:58.000,2019-01-12 15:54:04.000,1386,桨叶软件,故障和告警
五里坡公司3号一期风电场,HFJ091,6107,桨叶3BTB错误,2019-01-12 15:30:58.000,2019-01-12 15:54:04.000,1386,桨叶软件,故障和告警
五里坡公司3号一期风电场,HFJ091,6105,桨叶1BTB错误,2019-01-12 15:30:58.000,2019-01-12 15:54:04.000,1386,桨叶软件,故障和告警
五里坡公司3号一期风电场,HFJ091,6108,变桨紧急事件触发,2019-01-12 15:30:58.000,2019-01-12 15:54:04.000,1386,桨叶软件,故障和告警
五里坡公司3号一期风电场,HFJ091,5487,桨叶2 24V电压故障,2019-01-12 15:30:58.000,2019-01-12 15:48:52.000,1074,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5492,桨叶1 400伏异常,2019-01-12 15:30:58.000,2019-01-12 15:54:04.000,1386,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ091,5801,高速轴刹车非正常动作,2019-01-12 15:19:37.000,2019-01-12 15:48:52.000,1755,刹车系统,故障和告警
五里坡公司3号一期风电场,HFJ091,6401,系统初始化超时待机,2019-01-12 15:01:08.000,2019-01-12 15:02:27.000,79,超时,故障和告警
五里坡公司3号一期风电场,HFJ091,5108,维护模式,2019-01-12 14:59:04.000,2019-01-12 15:50:13.000,3069,控制器,故障和告警
五里坡公司3号一期风电场,HFJ091,5509,机舱位置标定中,2019-01-12 14:59:04.000,2019-01-12 16:27:20.000,5296,偏航,故障和告警
五里坡公司3号一期风电场,HFJ091,5404,桨叶1和3的桨距角差值过大,2019-01-12 14:56:23.000,2019-01-12 15:48:52.000,3149,桨叶软件,故障和告警
