风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司2号一期风电场,HFJ011,6411,启机等风超时待机,2019-02-27 09:22:32.000,2019-02-27 09:23:23.000,51,超时,故障和告警
五里坡公司2号一期风电场,HFJ011,5922,小风正常停机,2019-02-26 16:43:42.000,2019-02-26 16:44:21.000,39,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,6411,启机等风超时待机,2019-02-26 12:56:47.000,2019-02-26 12:57:26.000,39,超时,故障和告警
五里坡公司2号一期风电场,HFJ011,5505,右扭缆超限,2019-02-24 14:50:03.000,2019-02-24 14:50:42.000,39,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5507,偏航自动解缆中,2019-02-24 14:50:03.000,2019-02-24 15:01:55.000,712,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5119,机舱手动偏航使能,2019-02-19 13:14:17.000,2019-02-19 14:18:32.000,3855,控制器,故障和告警
五里坡公司2号一期风电场,HFJ011,5801,高速轴刹车非正常动作,2019-02-19 12:40:57.000,2019-02-19 12:41:51.000,54,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ011,5613,齿轮箱油泵启动失败,2019-02-19 10:41:32.000,2019-02-19 12:41:51.000,7219,齿轮箱,故障和告警
五里坡公司2号一期风电场,HFJ011,5802,液压系统压力低,2019-02-19 10:08:28.000,2019-02-19 12:42:18.000,9230,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ011,5530,偏航电机1-2断路器跳闸,2019-02-19 10:07:14.000,2019-02-19 12:41:51.000,9277,偏航驱动,故障和告警
五里坡公司2号一期风电场,HFJ011,5531,偏航电机3-4断路器跳闸,2019-02-19 10:07:14.000,2019-02-19 12:41:51.000,9277,偏航驱动,故障和告警
五里坡公司2号一期风电场,HFJ011,5806,液压泵断路器跳闸,2019-02-19 10:07:14.000,2019-02-19 12:41:51.000,9277,刹车系统,故障和告警
五里坡公司2号一期风电场,HFJ011,5119,机舱手动偏航使能,2019-02-19 09:39:53.000,2019-02-19 12:41:51.000,10918,控制器,故障和告警
五里坡公司2号一期风电场,HFJ011,5621,齿轮箱润滑泵断路器跳闸,2019-02-19 09:35:24.000,2019-02-19 14:18:32.000,16988,齿轮箱,故障和告警
五里坡公司2号一期风电场,HFJ011,5108,维护模式,2019-02-19 09:11:24.000,2019-02-19 14:18:32.000,18428,控制器,故障和告警
五里坡公司2号一期风电场,HFJ011,5107,塔基手动正常停机,2019-02-19 09:10:48.000,2019-02-19 12:41:51.000,12663,控制器,故障和告警
五里坡公司2号一期风电场,HFJ011,5924,风机欠功率,2019-02-19 06:05:01.000,2019-02-19 06:05:32.000,31,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5507,偏航自动解缆中,2019-02-18 17:04:10.000,2019-02-18 17:15:27.000,677,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5922,小风正常停机,2019-02-18 14:54:44.000,2019-02-18 14:55:11.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5922,小风正常停机,2019-02-18 12:44:38.000,2019-02-18 12:45:05.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,6411,启机等风超时待机,2019-02-17 00:18:41.000,2019-02-17 00:19:12.000,31,超时,故障和告警
五里坡公司2号一期风电场,HFJ011,5922,小风正常停机,2019-02-11 05:16:16.000,2019-02-11 05:16:48.000,32,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5924,风机欠功率,2019-01-31 03:02:26.000,2019-01-31 03:03:08.000,42,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5922,小风正常停机,2019-01-25 16:51:38.000,2019-01-25 16:52:05.000,27,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5506,左扭缆超限,2019-01-17 18:25:27.000,2019-01-17 18:26:30.000,63,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5507,偏航自动解缆中,2019-01-17 18:25:27.000,2019-01-17 18:37:37.000,730,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5924,风机欠功率,2019-01-14 23:41:16.000,2019-01-14 23:41:56.000,40,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5924,风机欠功率,2019-01-13 10:29:21.000,2019-01-13 10:30:11.000,50,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5507,偏航自动解缆中,2019-01-09 13:01:22.000,2019-01-09 13:13:14.000,712,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5505,右扭缆超限,2019-01-09 13:01:22.000,2019-01-09 13:02:02.000,40,偏航,故障和告警
五里坡公司2号一期风电场,HFJ011,5970,变流器系统故障,2019-01-06 13:36:59.000,2019-01-06 14:17:19.000,2420,变流器（控制器部分）,故障和告警
五里坡公司2号一期风电场,HFJ011,5442,桨叶1电机冷却风扇跳闸,2019-01-06 13:36:20.000,2019-01-06 14:17:19.000,2459,桨叶硬件,故障和告警
五里坡公司2号一期风电场,HFJ011,5004,发电机过转速(H),2019-01-06 13:36:20.000,2019-01-06 14:17:19.000,2459,安全链,故障和告警
五里坡公司2号一期风电场,HFJ011,5011,主断路器跳闸,2019-01-06 13:36:20.000,2019-01-06 14:17:19.000,2459,安全链,故障和告警
五里坡公司2号一期风电场,HFJ011,1029,以太网接收故障,2019-01-06 13:36:20.000,2019-01-06 14:17:19.000,2459,其他,故障和告警
