风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 17:51:10.000,2019-03-31 17:55:40.000,270,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 17:23:35.000,2019-03-31 17:24:06.000,31,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 16:49:34.000,2019-03-31 16:53:40.000,246,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 16:16:46.000,2019-03-31 16:17:52.000,66,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 16:13:52.000,2019-03-31 16:14:25.000,33,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 15:58:58.000,2019-03-31 15:59:26.000,28,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 15:45:19.000,2019-03-31 15:47:08.000,109,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 15:23:25.000,2019-03-31 15:25:30.000,125,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 15:08:40.000,2019-03-31 15:11:19.000,159,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 15:05:27.000,2019-03-31 15:08:08.000,161,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5904,机组正常待机,2019-03-31 14:38:40.000,2019-03-31 14:44:05.000,325,变流器,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 14:13:57.000,2019-03-31 14:18:11.000,254,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 13:50:02.000,2019-03-31 13:51:24.000,82,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 13:35:55.000,2019-03-31 13:39:07.000,192,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 13:07:35.000,2019-03-31 13:10:13.000,158,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:45:50.000,2019-03-31 12:46:44.000,54,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:36:50.000,2019-03-31 12:37:17.000,27,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:33:13.000,2019-03-31 12:35:01.000,108,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:30:04.000,2019-03-31 12:31:52.000,108,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:28:14.000,2019-03-31 12:28:42.000,28,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:07:47.000,2019-03-31 12:08:50.000,63,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:03:20.000,2019-03-31 12:04:14.000,54,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 12:01:59.000,2019-03-31 12:02:26.000,27,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 11:59:14.000,2019-03-31 12:00:38.000,84,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 11:24:04.000,2019-03-31 11:25:42.000,98,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 11:13:38.000,2019-03-31 11:14:09.000,31,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 10:43:00.000,2019-03-31 10:43:54.000,54,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 10:33:58.000,2019-03-31 10:34:25.000,27,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5503,偏航误差过大,2019-03-31 10:31:42.000,2019-03-31 10:32:36.000,54,偏航,故障和告警
五里坡公司3号一期风电场,HFJ088,5904,机组正常待机,2019-03-31 07:09:50.000,2019-03-31 07:15:02.000,312,变流器,故障和告警
