风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ083,5505,右扭缆超限,2019-02-24 05:47:20.000,2019-02-24 05:48:01.000,41,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,5507,偏航自动解缆中,2019-02-24 05:47:20.000,2019-02-24 06:04:33.000,1033,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,5803,液压系统压力高,2019-02-19 00:38:16.000,2019-02-19 00:40:05.000,109,刹车系统,故障和告警
五里坡公司3号一期风电场,HFJ083,5509,机舱位置标定中,2019-02-12 15:24:09.000,2019-02-12 15:26:59.000,170,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,5484,桨叶2刹车电压故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5478,桨叶1充电器故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5479,桨叶2充电器故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5482,桨叶2充电传感器故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5483,桨叶1刹车电压故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5481,桨叶2断路器跳闸,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5432,变桨系统通讯故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5480,桨叶3充电器故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5002,安全链2触发,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,安全链,故障和告警
五里坡公司3号一期风电场,HFJ083,64037,非正常关机(OS),2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,控制器,故障和告警
五里坡公司3号一期风电场,HFJ083,5437,变桨系统内部硬件连接故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5941,变流器跳闸,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ083,5485,桨叶3刹车电压故障,2019-02-12 15:24:09.000,2019-02-12 15:24:42.000,33,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,64011,手动重启(OS),2019-02-12 15:21:26.000,2019-02-12 15:24:09.000,163,控制器,故障和告警
五里坡公司3号一期风电场,HFJ083,5803,液压系统压力高,2019-02-12 15:19:15.000,2019-02-12 15:21:26.000,131,刹车系统,故障和告警
五里坡公司3号一期风电场,HFJ083,5002,安全链2触发,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,安全链,故障和告警
五里坡公司3号一期风电场,HFJ083,5941,变流器跳闸,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ083,5432,变桨系统通讯故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5484,桨叶2刹车电压故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5478,桨叶1充电器故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5481,桨叶2断路器跳闸,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5480,桨叶3充电器故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5485,桨叶3刹车电压故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5509,机舱位置标定中,2019-02-11 16:52:38.000,2019-02-11 17:06:20.000,822,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,64037,非正常关机(OS),2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,控制器,故障和告警
五里坡公司3号一期风电场,HFJ083,5479,桨叶2充电器故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5482,桨叶2充电传感器故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5483,桨叶1刹车电压故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,5437,变桨系统内部硬件连接故障,2019-02-11 16:52:38.000,2019-02-11 16:53:05.000,27,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ083,64011,手动重启(OS),2019-02-11 16:50:22.000,2019-02-11 16:52:38.000,136,控制器,故障和告警
五里坡公司3号一期风电场,HFJ083,5803,液压系统压力高,2019-02-11 16:43:32.000,2019-02-11 16:54:01.000,629,刹车系统,故障和告警
五里坡公司3号一期风电场,HFJ083,5922,小风正常停机,2019-02-11 08:04:55.000,2019-02-11 08:05:24.000,29,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ083,5922,小风正常停机,2019-02-07 16:45:47.000,2019-02-07 16:46:27.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ083,5506,左扭缆超限,2019-02-02 06:34:07.000,2019-02-02 06:34:56.000,49,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,5507,偏航自动解缆中,2019-02-02 06:34:07.000,2019-02-02 06:51:44.000,1057,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,5924,风机欠功率,2019-02-01 21:03:27.000,2019-02-01 21:04:08.000,41,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ083,5803,液压系统压力高,2019-02-01 13:59:58.000,2019-02-01 14:09:34.000,576,刹车系统,故障和告警
五里坡公司3号一期风电场,HFJ083,5922,小风正常停机,2019-01-31 20:16:49.000,2019-01-31 20:17:43.000,54,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ083,5108,维护模式,2019-01-26 09:49:35.000,2019-01-26 11:45:28.000,6953,控制器,故障和告警
五里坡公司3号一期风电场,HFJ083,5507,偏航自动解缆中,2019-01-26 00:31:16.000,2019-01-26 00:48:08.000,1012,偏航,故障和告警
五里坡公司3号一期风电场,HFJ083,5803,液压系统压力高,2019-01-26 00:27:42.000,2019-01-26 01:02:28.000,2086,刹车系统,故障和告警
