风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-30 23:03:26.000,2019-03-30 23:24:26.000,1260,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5505,右扭缆超限,2019-03-30 23:03:26.000,2019-03-30 23:04:31.000,65,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5011,主断路器跳闸,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,15704,桨叶2紧急顺桨模式,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,64025,主控制器安全链输入丢失(OS),2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5002,安全链2触发,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5941,变流器跳闸,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,15604,桨叶1紧急顺桨模式,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,15804,桨叶3紧急顺桨模式,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5009,机舱安全停按钮触发,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5119,机舱手动偏航使能,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,15611,桨叶1安全链故障,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ111,15811,桨叶3安全链故障,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5001,硬件看门狗触发安全链,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5003,风轮过转速(H),2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5012,安全链1触发,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5005,过振动(H),2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5010,安全继电器触发,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,15711,桨叶2安全链故障,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5108,维护模式,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5007,塔底紧停按钮触发,2019-03-26 15:36:29.000,2019-03-26 16:38:37.000,3728,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5107,塔基手动正常停机,2019-03-26 15:32:50.000,2019-03-26 16:38:37.000,3947,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5922,小风正常停机,2019-03-23 15:36:23.000,2019-03-23 15:38:10.000,107,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-21 04:20:56.000,2019-03-21 04:42:53.000,1317,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5505,右扭缆超限,2019-03-21 04:20:56.000,2019-03-21 04:22:53.000,117,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-18 20:45:17.000,2019-03-18 21:06:40.000,1283,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5922,小风正常停机,2019-03-18 11:03:09.000,2019-03-18 11:05:11.000,122,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-15 00:10:23.000,2019-03-15 00:32:06.000,1303,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-12 03:47:56.000,2019-03-12 04:08:57.000,1261,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5505,右扭缆超限,2019-03-05 23:58:35.000,2019-03-05 23:59:56.000,81,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-05 23:58:35.000,2019-03-06 00:18:57.000,1222,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-03-02 17:53:09.000,2019-03-02 18:14:13.000,1264,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-02-27 14:04:56.000,2019-02-27 14:24:43.000,1187,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5003,风轮过转速(H),2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5001,硬件看门狗触发安全链,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5005,过振动(H),2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,15604,桨叶1紧急顺桨模式,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5010,安全继电器触发,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,64025,主控制器安全链输入丢失(OS),2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5009,机舱安全停按钮触发,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,15611,桨叶1安全链故障,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,桨叶软件,故障和告警
白塔公司1号二期风电场,HFJ111,15711,桨叶2安全链故障,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,15811,桨叶3安全链故障,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5007,塔底紧停按钮触发,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5012,安全链1触发,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,15704,桨叶2紧急顺桨模式,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5941,变流器跳闸,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,15804,桨叶3紧急顺桨模式,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,桨叶硬件,故障和告警
白塔公司1号二期风电场,HFJ111,5011,主断路器跳闸,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5107,塔基手动正常停机,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5119,机舱手动偏航使能,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5002,安全链2触发,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,安全链,故障和告警
白塔公司1号二期风电场,HFJ111,5108,维护模式,2019-02-27 09:21:01.000,2019-02-27 10:55:04.000,5643,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5922,小风正常停机,2019-02-18 15:13:02.000,2019-02-18 15:13:53.000,51,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,5922,小风正常停机,2019-02-17 14:26:58.000,2019-02-17 14:27:34.000,36,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,5922,小风正常停机,2019-02-08 14:24:31.000,2019-02-08 14:25:07.000,36,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,5507,偏航自动解缆中,2019-02-01 10:29:22.000,2019-02-01 10:50:36.000,1274,偏航,故障和告警
白塔公司1号二期风电场,HFJ111,5924,风机欠功率,2019-01-23 21:45:56.000,2019-01-23 21:47:45.000,109,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ111,5621,齿轮箱润滑泵断路器跳闸,2019-01-18 10:31:47.000,2019-01-18 10:59:12.000,1645,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ111,5621,齿轮箱润滑泵断路器跳闸,2019-01-18 10:22:31.000,2019-01-18 10:30:31.000,480,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ111,5108,维护模式,2019-01-18 10:08:22.000,2019-01-18 11:05:17.000,3415,控制器,故障和告警
白塔公司1号二期风电场,HFJ111,5107,塔基手动正常停机,2019-01-18 10:08:22.000,2019-01-18 10:30:31.000,1329,控制器,故障和告警
