风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-27 16:06:34.000,2019-02-27 16:07:24.000,50,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-27 15:40:00.000,2019-02-27 15:40:41.000,41,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-19 12:40:04.000,2019-02-19 12:40:31.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-15 14:32:35.000,2019-02-15 14:33:01.000,26,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-15 00:02:59.000,2019-02-15 00:03:25.000,26,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5924,风机欠功率,2019-02-09 22:59:42.000,2019-02-09 23:00:09.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-09 10:50:49.000,2019-02-09 10:51:16.000,27,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-07 04:41:44.000,2019-02-07 04:42:24.000,40,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-02-06 21:35:34.000,2019-02-06 21:36:30.000,56,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ082,5507,偏航自动解缆中,2019-02-01 21:44:52.000,2019-02-01 22:01:59.000,1027,偏航,故障和告警
五里坡公司3号一期风电场,HFJ082,5506,左扭缆超限,2019-02-01 21:44:12.000,2019-02-01 21:45:30.000,78,偏航,故障和告警
五里坡公司3号一期风电场,HFJ082,6411,启机等风超时待机,2019-01-28 12:04:25.000,2019-01-28 12:04:52.000,27,超时,故障和告警
五里坡公司3号一期风电场,HFJ082,5108,维护模式,2019-01-27 09:23:55.000,2019-01-27 11:45:56.000,8521,控制器,故障和告警
五里坡公司3号一期风电场,HFJ082,5107,塔基手动正常停机,2019-01-27 09:22:53.000,2019-01-27 11:45:56.000,8583,控制器,故障和告警
五里坡公司3号一期风电场,HFJ082,5507,偏航自动解缆中,2019-01-17 23:08:21.000,2019-01-17 23:24:57.000,996,偏航,故障和告警
五里坡公司3号一期风电场,HFJ082,6411,启机等风超时待机,2019-01-17 10:51:56.000,2019-01-17 10:52:36.000,40,超时,故障和告警
五里坡公司3号一期风电场,HFJ082,5922,小风正常停机,2019-01-11 23:00:12.000,2019-01-11 23:00:53.000,41,变流器（控制器部分）,故障和告警
