风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 17:09:00.000,2019-03-29 17:18:00.000,540,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 16:12:15.000,2019-03-29 17:07:20.000,3305,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 12:46:44.000,2019-03-29 16:09:41.000,12177,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 12:41:46.000,2019-03-29 12:42:22.000,36,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 10:25:31.000,2019-03-29 12:39:58.000,8067,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 10:11:09.000,2019-03-29 10:11:58.000,49,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 08:46:27.000,2019-03-29 09:55:32.000,4145,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-29 00:53:14.000,2019-03-29 01:15:32.000,1338,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 16:41:58.000,2019-03-28 17:37:10.000,3312,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 16:00:39.000,2019-03-28 16:39:58.000,2359,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 15:50:24.000,2019-03-28 15:56:28.000,364,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 14:39:17.000,2019-03-28 14:46:49.000,452,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 14:31:38.000,2019-03-28 14:33:33.000,115,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 14:15:39.000,2019-03-28 14:23:43.000,484,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 10:20:03.000,2019-03-28 10:37:51.000,1068,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 10:03:14.000,2019-03-28 10:13:17.000,603,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-28 09:12:25.000,2019-03-28 09:24:56.000,751,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-26 11:25:52.000,2019-03-26 11:47:17.000,1285,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-25 16:28:52.000,2019-03-25 16:45:22.000,990,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-25 15:41:08.000,2019-03-25 16:17:18.000,2170,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-24 14:26:29.000,2019-03-24 14:35:43.000,554,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-24 09:47:30.000,2019-03-24 10:07:09.000,1179,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-20 14:39:55.000,2019-03-20 15:54:54.000,4499,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-20 12:21:08.000,2019-03-20 14:36:16.000,8108,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-20 11:30:16.000,2019-03-20 12:14:52.000,2676,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-20 10:28:29.000,2019-03-20 10:49:47.000,1278,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-20 10:00:14.000,2019-03-20 10:09:03.000,529,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5922,小风正常停机,2019-03-19 21:32:40.000,2019-03-19 21:34:27.000,107,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ165,5621,齿轮箱润滑泵断路器跳闸,2019-03-19 16:08:10.000,2019-03-19 16:36:49.000,1719,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ165,5627,齿轮箱加热器断路器跳闸,2019-03-19 16:08:10.000,2019-03-19 16:36:49.000,1719,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ165,5712,发电机冷却风扇断路器跳闸,2019-03-19 16:08:10.000,2019-03-19 16:36:49.000,1719,发电机,故障和告警
白塔公司1号二期风电场,HFJ165,5620,齿轮箱冷却风扇断路器跳闸,2019-03-19 16:08:10.000,2019-03-19 16:36:49.000,1719,齿轮箱,故障和告警
白塔公司1号二期风电场,HFJ165,5108,维护模式,2019-03-19 15:59:22.000,2019-03-19 16:36:49.000,2247,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5107,塔基手动正常停机,2019-03-19 15:57:51.000,2019-03-19 16:36:49.000,2338,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5505,右扭缆超限,2019-03-17 16:58:32.000,2019-03-17 16:59:48.000,76,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-17 16:58:32.000,2019-03-17 17:20:07.000,1295,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,6411,启机等风超时待机,2019-03-16 18:58:11.000,2019-03-16 18:59:28.000,77,超时,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-16 05:29:55.000,2019-03-16 05:50:45.000,1250,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-13 11:58:50.000,2019-03-13 12:17:29.000,1119,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5107,塔基手动正常停机,2019-03-13 09:57:54.000,2019-03-13 10:58:31.000,3637,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-11 17:13:33.000,2019-03-11 17:28:11.000,878,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-11 16:36:44.000,2019-03-11 17:11:14.000,2070,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-11 15:39:47.000,2019-03-11 16:25:29.000,2742,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-11 14:20:41.000,2019-03-11 15:33:48.000,4387,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-11 13:35:27.000,2019-03-11 13:59:40.000,1453,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-11 11:41:57.000,2019-03-11 12:49:35.000,4058,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-10 14:04:57.000,2019-03-10 14:14:17.000,560,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-10 13:15:35.000,2019-03-10 14:02:57.000,2842,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-10 11:54:59.000,2019-03-10 13:13:08.000,4689,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-10 09:15:16.000,2019-03-10 11:50:01.000,9285,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5505,右扭缆超限,2019-03-08 19:12:00.000,2019-03-08 19:14:21.000,141,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-08 19:12:00.000,2019-03-08 19:33:25.000,1285,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-08 16:47:56.000,2019-03-08 17:08:52.000,1256,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-08 16:11:00.000,2019-03-08 16:28:05.000,1025,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-08 15:52:41.000,2019-03-08 16:00:22.000,461,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-08 14:34:34.000,2019-03-08 15:25:05.000,3031,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-08 13:58:57.000,2019-03-08 14:21:31.000,1354,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-03-08 12:58:51.000,2019-03-08 13:34:27.000,2136,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5505,右扭缆超限,2019-03-04 14:28:30.000,2019-03-04 14:30:38.000,128,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-03-04 14:28:30.000,2019-03-04 14:49:07.000,1237,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-02-25 14:31:22.000,2019-02-25 14:51:22.000,1200,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-02-24 15:20:44.000,2019-02-24 15:40:50.000,1206,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5941,变流器跳闸,2019-02-19 01:53:59.000,2019-02-19 02:10:23.000,984,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ165,5971,变流器转子侧模块启动故障,2019-02-19 01:53:59.000,2019-02-19 02:10:23.000,984,变流器（控制器部分）,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-02-18 16:00:58.000,2019-02-18 16:20:56.000,1198,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5505,右扭缆超限,2019-02-14 21:39:50.000,2019-02-14 21:40:26.000,36,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5507,偏航自动解缆中,2019-02-14 21:39:50.000,2019-02-14 22:00:33.000,1243,偏航,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-02-14 10:11:45.000,2019-02-14 11:08:03.000,3378,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-02-14 01:26:03.000,2019-02-14 01:39:29.000,806,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-02-13 23:49:57.000,2019-02-14 00:07:54.000,1077,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-02-13 15:42:23.000,2019-02-13 16:40:07.000,3464,控制器,故障和告警
白塔公司1号二期风电场,HFJ165,5121,能量管理平台停机,2019-02-13 15:26:07.000,2019-02-13 15:34:00.000,473,控制器,故障和告警
