风场,风机名称,故障码,故障描述,发生时间,结束时间,故障时长(分),部件位置,故障类别
五里坡公司3号一期风电场,HFJ087,5922,小风正常停机,2019-02-27 16:36:13.000,2019-02-27 16:36:51.000,38,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5505,右扭缆超限,2019-02-26 23:33:51.000,2019-02-26 23:34:39.000,48,偏航,故障和告警
五里坡公司3号一期风电场,HFJ087,5507,偏航自动解缆中,2019-02-26 23:33:51.000,2019-02-26 23:51:14.000,1043,偏航,故障和告警
五里坡公司3号一期风电场,HFJ087,5922,小风正常停机,2019-02-24 12:13:33.000,2019-02-24 12:14:23.000,50,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5922,小风正常停机,2019-02-22 00:16:47.000,2019-02-22 00:17:38.000,51,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5922,小风正常停机,2019-02-21 10:45:23.000,2019-02-21 10:46:00.000,37,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5922,小风正常停机,2019-02-19 12:56:32.000,2019-02-19 12:57:00.000,28,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5924,风机欠功率,2019-02-19 05:14:10.000,2019-02-19 05:14:42.000,32,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5607,齿轮箱冷却风扇接触器反馈故障,2019-02-16 10:50:52.000,2019-02-16 11:37:04.000,2772,齿轮箱,故障和告警
五里坡公司3号一期风电场,HFJ087,5108,维护模式,2019-02-16 10:49:31.000,2019-02-16 11:37:04.000,2853,控制器,故障和告警
五里坡公司3号一期风电场,HFJ087,5620,齿轮箱冷却风扇断路器跳闸,2019-02-16 10:49:04.000,2019-02-16 11:37:04.000,2880,齿轮箱,故障和告警
五里坡公司3号一期风电场,HFJ087,5603,齿轮箱油温过高,2019-02-16 10:47:44.000,2019-02-16 10:49:31.000,107,齿轮箱,故障和告警
五里坡公司3号一期风电场,HFJ087,5941,变流器跳闸,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,变流器（控制器部分）,故障和告警
五里坡公司3号一期风电场,HFJ087,5480,桨叶3充电器故障,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ087,5485,桨叶3刹车电压故障,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ087,64037,非正常关机(OS),2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,控制器,故障和告警
五里坡公司3号一期风电场,HFJ087,5478,桨叶1充电器故障,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ087,5479,桨叶2充电器故障,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ087,5482,桨叶2充电传感器故障,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,桨叶硬件,故障和告警
五里坡公司3号一期风电场,HFJ087,5483,桨叶1刹车电压故障,2019-02-16 10:47:17.000,2019-02-16 10:49:31.000,134,桨叶硬件,故障和告警
